timestamp,scan_rate_hz,object_count,avg_objects_per_scan,success_rate_percent,cpu_time_ms_per_frame
2025-12-07T19:59:26.507411,3.01,12,12.00,100.0,8.34
2025-12-07T19:59:27.507313,4.00,12,12.00,100.0,9.98
2025-12-07T19:59:28.507554,3.00,11,12.00,100.0,9.50
2025-12-07T19:59:29.507726,3.00,10,10.67,100.0,9.45
2025-12-07T19:59:30.507499,3.00,9,10.00,100.0,9.28
2025-12-07T19:59:31.507411,3.00,10,9.00,100.0,8.65
2025-12-07T19:59:32.507526,4.00,9,9.25,100.0,9.89
2025-12-07T19:59:33.507481,3.00,9,8.67,100.0,9.56
2025-12-07T19:59:34.507605,3.00,11,9.67,100.0,8.39
2025-12-07T19:59:35.507529,3.00,10,10.33,100.0,15.26
2025-12-07T19:59:36.507144,3.44,9,10.00,100.0,9.45
2025-12-07T19:59:37.507292,3.00,10,9.67,100.0,11.00
2025-12-07T19:59:38.507370,4.00,9,9.25,100.0,8.97
2025-12-07T19:59:39.507275,3.00,11,10.33,100.0,7.94
2025-12-07T19:59:40.507210,3.00,12,11.33,100.0,8.98
2025-12-07T19:59:41.507418,3.00,12,12.00,100.0,10.73
2025-12-07T19:59:42.508138,4.00,12,12.00,100.0,9.01
2025-12-07T19:59:43.507220,3.00,12,12.00,100.0,9.00
2025-12-07T19:59:44.508624,3.99,12,12.00,100.0,10.08

SUMMARY,3.33,12,10.84,99.8,9.50
